Campus,Lot Name,Address,Latitude,Longitude,Height Clearance,Permits Accepted,EV Charging Spaces,Public Lot,total_spots,handicapped_spots,reserved_spots,free_regular_spots,free_handicapped_spots,Notes
Charles River,Agganis Arena Lot/Garage (A),925 Commonwealth Ave Boston MA,42.3501,-71.1195,6 ft. 6 in.,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Carpool; Student Commuter; Student Flex; Student Evening Commuter; BUMC Reciprocal",4,Yes,,,,,,Public/open transient parking exists per event info
Charles River,Harry Agganis Way Lot (C),33 Harry Agganis Way Boston MA,42.3505,-71.1188,,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,No,,,,,,Enter behind building
Charles River,Langsam Garage (B),142 Gardner St Boston MA,42.3514,-71.1206,8 ft. 2 in.,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Carpool; Student Commuter; Student Flex; Student Evening Commuter; Student Resident Overnight – Langsam; BUMC Reciprocal",4,Yes,,,,,,Overnight guest parking sometimes available
Charles River,Buick Street Garage & Lot (D),25 Buick St Boston MA,42.3506,-71.1169,,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,No,,,,,,
Charles River,CFA Lot (E),855 Commonwealth Ave Boston MA,42.3503,-71.1156,,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,No,,,,,,
Charles River,Essex Street Garage & Lot (F),148 Essex St Brookline MA,42.3489,-71.1251,"Lot: 8 ft. 2 in.; Garage: 6 ft. 8 in.","Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Carpool; Student Commuter (after 3 pm); Student Flex (after 3 pm); Student Evening Commuter; BUMC Reciprocal",2,No,,,,,,
Charles River,Lower Bridge Lot (G),3 University Rd Boston MA,42.3498,-71.1180,,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,No,,,,,,
Charles River,Upper Bridge Lot (H),1 University Rd Boston MA,42.3499,-71.1173,,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,No,,,,,,
Charles River,CAS Lot (J),240 Bay State Rd Boston MA,42.3478,-71.0979,,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Flex (after 3 pm); Student Evening Commuter",0,No,,,,,,
Charles River,Warren Towers Garage (K),700 Commonwealth Ave Boston MA,42.3509,-71.1118,6 ft. 2 in.,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Carpool; Student Commuter (after 3 pm); Student Flex (after 3 pm); Student Evening Commuter; BUMC Reciprocal",2,No,,,,,,
Charles River,575 Commonwealth Ave Lot (L),575 Commonwealth Ave Boston MA,42.3502,-71.1098,8 ft. 6 in.,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter; Motorcycle",2,No,,,,,,
Charles River,Rafik B. Hariri Building Garage (M),595 Commonwealth Ave Boston MA,42.3504,-71.1109,6 ft. 8 in.,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Carpool; Student Commuter (after 3 pm); Student Flex (after 3 pm); Student Evening Commuter",0,No,,,,,,
Charles River,Kenmore Lot (O),549 Commonwealth Ave Boston MA,42.3500,-71.1091,, "Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,Yes,,,,,"Visitors via PaybyPhone #41962 until 6pm"
Charles River,730/750 Commonwealth Ave Garage (Q),730 Commonwealth Ave Boston MA,42.3507,-71.1085,, "Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter; Motorcycle",2,No,,,,,,
Charles River,766 Commonwealth Ave Lot (R),766 Commonwealth Ave Boston MA,42.3508,-71.1079,, "Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,No,,,,,,
Charles River,890 Commonwealth Ave Garage (S),890 Commonwealth Ave Boston MA,42.3513,-71.1070,12 ft.,"Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter",0,No,,,,,,
Fenway,25 Pilgrim Road Lot,25 Pilgrim Road Boston MA,42.3412,-71.1064,, "Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter; Student Resident Overnight – Fenway",0,No,,,,,,
Fenway,43 Hawes Street Lot,43 Hawes Street Boston MA,42.3415,-71.1072,, "Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter; Student Resident Overnight – Fenway",0,No,,,,,,
Fenway,55 Pilgrim Road Garage,55 Pilgrim Road Boston MA,42.3410,-71.1065,, "Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter; Student Resident Overnight – Fenway",0,No,,,,,,
Fenway,65 Pilgrim Road Garage,65 Pilgrim Road Boston MA,42.3418,-71.1078,, "Employee Commuter; Employee Flex; Employee Off-Peak Commuter; Evening Faculty; Student Commuter (after 3 pm); Student Evening Commuter; Student Resident Overnight – Fenway",0,No,,,,,,
Medical,720 Harrison Avenue (DOB),720 Harrison Ave Boston MA,42.3381,-71.0648,, "Open to Public",0,Yes,,,,,,
Medical,710 Albany Street Garage,710 Albany St Boston MA,42.3365,-71.0639,, "710 Albany Street Garage Permit; CRC Employee Commuter; Employee Flex; Employee Off-Peak Commuter (max 3 times/week)",8,Yes,,,,,,
Medical,Crosstown Center Garage (XCG),7 Melnea Cass Blvd Boston MA,42.3410,-71.0691,, "Crosstown Garage Permit",0,Yes,,,,,,
Medical,610 Albany Street Garage,610 Albany St Boston MA,42.3371,-71.0617,, "610 Albany Street Garage Permit",14,No,,,,,,
